id,eng_prompt,lug_prompt,ach_prompt,teo_prompt,lgg_prompt,nyn_prompt
7644,"As the sun began to set, guests arrived in droves, excited to celebrate the occasion. The host had arranged for a designated parking area to accommodate everyone.","Enjuba bwe yatandika okugwa, abagenyi baatuuka mu bungi, nga basanyufu okujaguza omukolo. Omukyaza yali ategesewo ekifo eky'okusimbamu mmotoka okusobola okusuza buli omu.","Ikare ma ceng ocako poto, wele mapol gubino ki yomcwiny me kwero kwer ne. Lador ot ne oyubu kama ki keto iye mutoka wek dano weng obed iye.","Neageuna akolong aibiror, apotu ipejok odumutu luipu, iyalamasi noi kanu ainumunum epucit. Abu edaran itemok aiboisit naitemokinitai kanu itunga kere aiboi.","Etuka ni e'doria 'boria, omu eyi eca 'ba karakara eyi ma alea ayiko be ayiko si omu 'da inzizu. Ba angu 'ba a'izuri otu pari mutukari eyi o'bazu 'ba dria eyini aa'zu alenia.","Eizooba ku ryatandikire kurenga, abagyenyi bakaija omu guruupu, bashemereirwe kujaguza omukoro. Owabaire atebekaniise entebeekanisa y'omwanya gw'okupaakinga emotoka, kugira ngu buri omwe agumeho."
7645,"In light of the recent incidents at similar events, the organizers decided to take extra precautions. They coordinated with local law enforcement to ensure a safe environment for all attendees.","Okusinziira ku bibaddewo ku mikolo egifaananako bwe gityo gyebuvuddeko awo, abategesi baasalawo okwegendereza ennyo. Baakwataganye n'abakuumaddembe mu kitundu okukakasa embeera ey'obukuumi eri bonna abaabaddewo.","Ma lubbe ki jami ma otimme cokcok-ki I yub marom enoni, luyub ne gumoko tamgi me gwokke tutwal. Gu winye ki joo ma gwoko cik me tedero me neno ni dano weng ma obedo tye gubedo agwoka.","Katupitos akiro nueswamasi pac kotoma opucito kalu eputosi, apotu lu etemonokinak kotuboto aitwasam acoa naepol noi. Apotu kesi iriamunos keda ipolisin luka atutubet kanu awanyun ebe eyuwara aiboisit naka itunga kere.","E'yo ebipi i 'yepi o'diru 'diyi ma e'yosi, 'ba otuta otupi 'diyi asi 'du e'yo yi ma ta mbazu drile. Eyi 'ye ti ecita 'ba azita ma ta mbapi angu 'da ma alea 'diyi pie angu 'ba emu'ba 'diyi ni aa'zu ageitema be.","Ahabw'ebyabaireho aha mikoro erikushushana, abatebekanisa bakasharamu kwegyendesereza munonga. Bakakorengana n'abarikukwatisa ebiragiro omu byaro, okureeba ngu abantu boona abaizire omu ruteerane tibaine kabi."
7646,"As the sun began to set, the streets filled with cars and excited voices. The annual neighborhood block party had drawn a larger crowd than anyone had anticipated.","Enjuba bwe yatandika okugwa, enguudo zajjula emmotoka n'amaloboozi ag'essanyu. Akabaga k'oku muliraano akabaawo buli mwaka kaabaddemu abantu bangi nnyo okusinga bwe kyali kisuubirwa.","Ikare ma ceng ocako poto, gudu opong ki motoka ki dwon pa dano ma cwinygi yom. Yub me cungu iwi bye ma bedo mwaka ki mwaka obedo ki dano mapol tutwal.","Neageuna akolong aibiror, apotu irotin kilelebunos keda amotokan keda iporotoi lu eyalamasi. Apotu itunga luipu kopotu toma opucit loka aiboisit kangin ekaru adepar lu aomitai.","Etuka ni e'doria 'boria, nzila eyi ga tre mutukari eyi pie azini o'duko ayiko fepi 'diyi pie. Omu jo ejele ru 'diyi ni eli vusi ri ma alea 'ba eyi ndra kalafe angiri si aga 'ba alu alu ni ega ri ra.","Omushana ku gwatandikire kurenga, enguuto zikaijuga emotoka n'eiraka ry'okushemererwa. Omukoro gw'okujaguza ogurikubaho buri mwaka, gukareeta abantu baingi kukira abo abaabaire nibateekateeka."
7647,"As the festive season approached, the city of Arua buzzed with excitement and anticipation. Local businesses prepared for a night of celebration, planning events to attract both residents and visitors.","Ebikujjuko bwe byasembera, ekibuga kya Arua kyajjula essanyu n'okusuubira. Abasuubuzi b'omu kitundu beetegekera ekiro ky'okujaguza, nga bategeka emikolo okusikiriza abatuuze n'abagenyi.","I kare me karama ma obedo cok, dano mapol gubedo ki yomcwiny I boma madit me Arua. Lutim biacara me tedero guyube pi kwero nino madit, giyubu yub me ywayo cwiny lutedero ki wele.","Neyapiete aparasia nuapolok, apol noi aiyalama kosite loka Arua. Apotu ibiasaran luka atutubet itemonokinos kanu ainumunum kware, aitemonokin iboro lu ingalaunete itunga keda ipejok.","Ayi ti natali ni ri ni ecazu ogogo risi, aku ambo Arua niri ma alea 'ba eyi ndra ayikosi saaru. Tujara angu 'da ma alea 'diyi otu eyi inzi inzi inzi, eyi otu e'yo eyini ani 'ba aa'pi angu 'da ma alea 'diyi ejizu tualu omu eyi pie.","Obwire bw'okujaguza ku bwahikire, orurembo rwa Arua rukaba rurimu okushemererwa n'okushemererwa. Bizinesi z'omubyaro, zitebekanisize ekiro ky'okujaguza, zitebekanisize emikoro y'okureeta abatuuragye n'abagyenyi."
7648,"During the Sunday service, the Bishop emphasized the importance of community involvement and compassion. He highlighted the need for the church to extend its reach beyond the walls of the sanctuary.","Mu kusaba kwa Ssande, Omulabirizi yakkaatirizza obukulu bw'abantu okwenyigiramu n'okusaasira. Yassa essira ku bwetaavu bw'ekkanisa okugaziya okutuuka kwayo okusukka bbugwe w'ekigo.","Ikare me lega me ceng cabit, Laneno oloko tutwal I kom ber pa lwak me bedo ki cwiny me kica. En owaco ni omyero kanica omede ki tic I kabedo mapat-pat mapat-pat manonge I ot lega.",Kotoma ailip naka Naesabiti abu ebisop kitogogong ajokis naka aimorikikin itunga keda aitim. Abu ngesi kitogogong eipud loka ekanisa aisiekikin aiboisio nuka ekanisa.,"Sawa inzita sabitisiri ma alia, Bisopi 'da fe okpo orodri ongulumu eyini aa'zu alenia azini aa'zu asi ndriza be ri ma dria. Ece e'yo lezu kanisa ma otu e'yo erini 'ye 'diyi ma kalafe angu alatararu 'diyi ma aliarisi amve.","Omu kushaba kw'eizooba rya sande, Bishopu akashoboorora omugasho gw'abantu kwejumba n'okugirira abandi esaasi. Akashoboorora ekyetengo ky'ekanisa okuhika aheeru y'ebisiika by'omwanya ogurikwera."
7649,"In times of uncertainty and struggle, we often turn to those who guide us spiritually. Their leadership and support play a crucial role in fostering unity and strength among us.","Mu biseera by'obutali bukakafu n'okulwana, tutera okudda eri abo abatulungamya mu by'omwoyo. Obukulembeze bwabwe n'obuwagizi bikola kinene nnyo mu kutumbula obumu n'amaanyi mu ffe.","Ikare me peko ki peko, pol kare walokke bot joo ma telowa i yo me cwiny. Tela gi ki kony gi konyo totwal me kelo ribe ki teko ikinwa.","Kotoma apakio nuetioko keda nuetioko, etapit oni aijulakin nejaas ngul lu isisianakinete oni koipone kalo ajokan. Engarenone kec keda agangat kes iswamaete ibore yenepol noi kanu aitopolor aimorikikina keda agogongu kanejaas oni.","Sa'wa e'yo ewaru azini e'yo ewaru 'diyisi, ama oja ama 'ba ama drice'ba 'diyi vu. Driceza azini atita yini 'diyi azi okporu nga ti ecita azini okpo ejizu ama eselea.","Omu bwire bw'obutetegyerezibwa n'oburemeezi, nitukira kuhindukirira abo abarikutuhabura omu by'omwoyo. Obwebembezi bwabo n'obuhwezi bwabo nibikora omurimo muhango omukureetaho okukwatanisa n'amaani omuriitwe."
7650,"After a successful charity gala that brought the community together, the Bishop reflected on the hard work and dedication of those involved. He knew that without the event organisers' efforts, the evening would not have been possible.","Oluvannyuma lw'empaka z'obwannakyewa ezaaleetawo obumu mu kitundu, Omulabirizi yafumiitiriza ku mirimu n'obumalirivu bw'abo abakwatibwako. Yali akimanyi nti awatali kaweefube w'abategesi b'omukolo, akawungeezi tekandibaddewo.","Ingee yub me miyo kony ma okelo ribbe ikin lwak, Laneno oloko I kom tic matek ki keto cwiny pa joo ma obedo tye. En onongo ngeyo ni labongo tute pa luyub yub eni, otyeno eni onongo pe twero time.","Akaulo naka epucit loajokan loajokan loajokan loajokan loabu koyangau itunga aimorikikin, abu ebisop koomoom nuikamunitos aswam kagogong keda ainakina naka ngul luimoriaritos. Ajeni ngesi ebe arai mam etemonokinak luka epucit iswamaete kagogong, mam atibong ngin ti epedori aitodolikin.","Omu drile suzaru 'ba azakoma fepi ongulumu eyi ma eselea ri ma vutia, Bisopi 'da ega e'yo azi okporu 'ba 'da eyi 'yepi 'diyi ma dria. Ni ra kini okpo 'ba otuta otupi 'diyiniri kokoru, ondre 'di econi te ovu ku.","Bwanyima y'omukoro gw'okugaba obuhwezi ogwarugiremu abantu okukwatanisa, Bishopu akateekateeka aha kukora n'okwehayo kw'abo abaabaire bejumbiremu. Akaba naamanya ngu hatariho kuteeraho kw'abarikutebekanisa omukoro,omwebazyo gukaba gutarikubaasa kubaho."
7651,"In times of uncertainty and division, the guidance of spiritual figures becomes increasingly vital. Strengthening the bonds between community members and their faith leaders can foster unity and resilience.","Mu biseera by'obutali bukakafu n'enjawukana, okulambika kw'abantu b'eby'omwoyo kweyongera okuba okw'omugaso. Okunyweza enkolagana wakati w'abantu b'omu kitundu n'abakulembeze b'enzikiriza zaabwe kisobola okutumbula obumu n'okugumira embeera.","Ikare me peko ki apoka-poka, kony pa lutela dini pire tek tutwal. Jingo wat ikin lwak ki lutela dini gi twero kelo ribe ki diyo cwiny.","Kotoma apakio nuka amamus aijen ka atiakatiaka, epolok noi aingarenikinio naka itunga luka edini. Aitogogong eidicane loejai kiding itunga keda engarenok lu ediini epedori aitopolor aimorikikina keda apedor.","Sa'wa e'yo ewaru azini esele coza ni 'diyi ma alea, driceza 'ba e'yo aitanisi 'diyi niri eca orodriru tu. Ti ecita 'ba ongulumu eyi ma eselea 'diyi ma eselea drice'ba eyivile e'yo aita ni 'diyi pie ri ma omgbo otuzu ri eco ti ecita ma omgbo otu ra.","Omu bwire bw'obutabanguko n'okwebaganisamu, okuhabura kw'abantu b'eby'omwoyo nikweyongyera kuba okw'omugasho. Okunyweza enkoragana ahagati y'abantu b'omubyanga hamwe n'abebembezi b'amadiini gaabo, nikibaasa kureetaho okukwatanisa n'okugumisiriza."
7652,"After decades of dedicated service and community involvement, the parish reached a significant milestone. Families gathered to reflect on the rich history and achievements of their beloved church.","Oluvannyuma lw'emyaka mingi egy'obuweereza obw'obwesimbu n'okwenyigira mu kitundu, ekigo kyatuuka ku ddaala ery'amaanyi. Amaka gakungaanidde okufumiitiriza ku byafaayo n'ebituukiddwaako mu kkanisa yaabwe.","Ingee mwaki mapol me tic matek ki keto cwiny I kom lwak, parish oo I rwom ma lamal tutwal. Gangi gugure me lwodo lok I kom tekwaro ki jami mabeco ma kanica meggi ma gimaro tutwal otimo.","Akaulo naka ikar luipu luka aijanakin keda aidar itunga, abu eparish kodolok adoketait naepol noi. Apotu ikalia kotukokinos aomoom nuikamunitos akiro nukolo keda nueswamauna kokanisa kec.","Eli karakara eyini azi ngazu asi driasi tualu ongulumu eyi pie 'bori ma vutia, parisi 'da esu e'yo azi okporu ni. Familia eyi tra eyi e'yo egazu e'yo agapi 'diyi ma dria tualu e'yo eyini 'ye kanisa eyivileri ma alea 'diyi pie.","Bwanyima y'emyaka mingi y'okuheereza n'okwejumba omu bantu, ekigo kikahika aha kigyendererwa ky'amaani. Amaka gaketeeranira hamwe kuteekateeka aha byafaayo n'ebikozirwe ekanisa yaabo."
7653,"In a recent meeting, the residents gathered to discuss the progress of various initiatives. They aimed to assess the impact of these efforts on their neighborhood.","Mu lukiiko olwaliwo gye buvuddeko, abatuuze baakuŋŋaana okukubaganya ebirowoozo ku ntambula y'enteekateeka ez'enjawulo. Baagenderera okwekenneenya engeri kaweefube ono gye yakwatamu ekitundu kyabwe.","I kacoke ma obedo cokcok-ki, lutedero gugure me nywako lok I kom yub mapat-pat matye katime. Gubedo ki miti me niang adwoki pa tic magi I kom kabedo gi.","Kotoma airiamunet napac, apotu itunga lu atutubet kimorikikinos kanu aitemitem apol naka ainapeta nuegelegela. Alosikinet kec arai airereor epone loepedoriata aswamisio nu aiboisio kec.","Mitingi azi ebipi o'diru ni ma alea, 'ba aa'pi angu 'da ma alea 'diyi tra eyi agbatara gbazu e'yo otita ndundu eyini muzu drile ri ma dria. Eyi ma asisile lezu e'yo 'yeta 'diyi ni 'ye angu eyivile 'diyi ma alea ri ma omgbo onezu.","Omu rukiiko orwabaireho juba, abatuuragye baketeeranira hamwe kuhanuura aha ntunguuka y'emirimo etari emwe. Bakaba baine ekigyendererwa ky'okushwijuma enkora y'emirimo egi omu byaro byabo."
