id,eng_prompt,lug_prompt,ach_prompt,teo_prompt,lgg_prompt,nyn_prompt
597,"As we gather for the upcoming event, it's important to prioritize the health and safety of all participants. Ensuring proper hygiene and preventive measures will be essential.","Nga tukungaana ku mukolo ogujja, kya mugaso okukulembeza obulamu n'obukuumi bw'abo bonna abeetabamu. Okukakasa obuyonjo n'enkola eziziyiza bijja kuba bikulu.","Ka watye ka gure pi yub matye kabino ni, pire tek tutwal me keto cwiny I kom yotkom ki ber bedo pa dano weng matye I yub eni. Gwoko lengo ki gengo two bibedo gin ma pire tek tutwal.","Neautar sio atukonokin kanuka epucit lo ebunit, ejokuna aisingarenit angaleu keda ayuwara naka itunga kere luejaikina toma. Aimaniman nuka aila ka aitikitik adekasinei erai ibore yenepol noi.","Amani ama okuzu omu emupi 'disi, eri orodriru 'ba dria emupi 'diyi ma rua ala azini ageitema ma e'yo 'du okori'i. E'yo alata ni 'diyi ma tambazu azini geri e'yo eyi atrizu 'diyi ma tambazu 'diyi nga ovu orodriru.","Obu turikukwatanisa aha mukoro ogurikwija, n'eky'omugasho kwebembeza amagara n'oburinzi bw'abantu boona abarikukwejumbamu. Okureeba ngu hariho obuyonjo n'emitendera y'okuzibira, nikiija kuba eky'omugasho."
598,Maintaining proper hygiene and sanitation is essential for public health. A well-kept environment plays a crucial role in reducing the spread of harmful pathogens.,Okukuuma obuyonjo kya mugaso eri obulamu bw'abantu. Embeera ennungi ekola kinene nnyo mu kukendeeza okusaasaana kw'obuwuka obw'obulabe.,Gwoko lengo obedo gin ma pire tek pi yot kom pa lwak. Kabedo ma orumuwa ma ki gwoko maber konyo tutwal me gengo nya pa kwidi ma kelo peko i kom dano.,Aidar aila ka aila ejok erai ibore yenepol noi kanuka angaleu naka itunga. Aiboisio nu idaritai ejok iswamaete ibore yenepol noi kanu aitidisiar awea na adekasinei nu erono.,Alata ma tambaza kililiru ri eri orodriru o'bi eyi ma rua ala ni. Angu ama agei ri ma ta mbaza kililiru ri ni azi okporu nga e'yo azo onzi 'diyi ma ereta ma omgbo esizu.,"Okugumizamu n'obuyonjo n'eky'omugasho aha magara g'abantu. Eby'obuhangwa ebirikwetorwa kurungi, nibikora omurimo gw'amaani omu kukyendeeza okujanjaara kw'oburwaire."
599,"Adhering to medical advice is crucial for effective treatment and recovery. Therefore, it is essential for patients to understand and comply with their doctor's recommendations.","Okukolera ku magezi g'abasawo kya nkizo mu bujjanjabi obulungi n'okuwona. N'olwekyo, kikulu nnyo abalwadde okutegeera n'okugoberera ebiragiro by'abasawo baabwe.","Lubu tam pa daktar pire tek tutwal pi nongo yat ki cang maber. Pi meno, pire tek tutwal pi lutwo me niang ki lubu cik pa daktar gi.","Atupite aicoreta nuka imurok erai ibore yenepol noi kanu amukian ka angaleun. Kanuka ngun, ejokuna noi adekak amisikin ka aitup aicoreta nuka imurok kec.","Imbata arojo ni 'diyi ma vuti obizu ri eri orodriru aro esuzu kililiru azini atita esuzu. Ka'dini, eri orodriru 'ba azoru 'diyi dri vata esuzu azini azita dakitari yini 'diyi ma vuti obizu.","Okukuratira obuhabuzi bw'abashaho n'eky'omugasho omu kuragurirwa kurungi n'okukira. N'ahabw'ekyo, n'eky'omugasho abarwaire kwetegyereza n'okukuratira ebiragiro by'abashaho baabo."
600,"The well-being of individuals directly impacts the strength of society as a whole. When people thrive in their health and happiness, the entire nation flourishes.","Obulungi bw'abantu kinnoomu bukosa butereevu amaanyi g'ekitundu okutwaliza awamu. Abantu bwe bakulaakulana mu bulamu bwabwe n'essanyu, eggwanga lyonna likulaakulana.","Rwom me kwo pa dano acel acel tye ki adwoki ne I kom teko pa lwak. Ka dano tye ma komgi yot dok cwiny gi yom, lobo weng dongo.","Aijar najokan naka itunga itodolikini agogong naka itunga kere. Arai epoloete itunga kotoma angaleukec keda aiyalama, epoloete akwap kere.","Aa'ta muke 'ba alu alu ni ri ni okpo ongulumu eyini 'diyi ma omgbo otu. O'bi ka yi ma rua ala azini ayikosi, kari dria ni zo.","Emituurire mirungi y'abantu, neekora aha magara g'abantu boona. Abantu ku barikutunguuka omu magara gaabo n'okushemererwa, eihanga ryona niritunguuka."
601,"Taking proactive measures in healthcare is essential for maintaining overall well-being. By focusing on early detection and intervention, we can significantly reduce the risk of serious health issues.","Okukola amangu mu byobulamu kya mugaso mu kukuuma obulamu obulungi okutwalira awamu. Bwe tussa essira ku kuzuula amangu n'okuyingira mu nsonga, tusobola okukendeeza ennyo ku bulabe bw'ebizibu by'ebyobulamu eby'amaanyi.","Timo jami mapud kare pe oromo I tenge me yot kom pire tek tutwal pi gwoko ber bedo pa dano. Ka waketo cwiny I kom niang ki timo gin mo con, watwero dwoko piny rwom me nongo peko me yot kom.","Aingarakin kotoma amukian erai ibore yenepol noi kanu aidar aijar najokan. Kowai lo aibwaikin agogongu kanu ajenun adekasinei sek, ipedori oni aitidisiar atiokisio nuka adekasinei nuarokok.","E'yo mbele mbele 'diyi 'duzu e'yo alata ni 'diyi ma alea ri eri orodriru aa'ta muke ri ma tambazu. Asi 'bazu e'yo 'bani esu drioru azini e'yo 'yezu drioru ri ma dria, ama eco e'yo ewaru e'yo rua ala ni onzi 'diyi ni 'diyi ma omgbo esi ra.","Okukora ebirikwetengyesa omu by'amagara n'eky'omugasho ahabw'okurinda amagara marungi. Twaguma nitufayo aha kukyebera bukiri kare, nitubaasa kukyendeeza munonga akabi k'oburwaire bw'amaani."
602,"In a well-functioning society, rules and regulations are established to maintain order and protect citizens. These guidelines serve as a framework to ensure fairness and justice for all individuals.","Mu kitundu ekikola obulungi, amateeka n'ebiragiro biteekebwawo okukuuma emirembe n'obukuumi bwa bannansi. Ebigobererwa bino bikola ng'omusingi okulaba nga wabaawo obwenkanya n'obwenkanya eri abantu bonna.","I kabedo ma kwo tye maber, kiketo cik me gwoko kuc ki ber bedo pa anywali. Cik magi tye macalo yoo me neno ni dano weng tye ki ber bedo.","Kotoma atutubet na iswamai ejok, itemonokino ikisila ka ainapeta kanu aidar ainapakina ka ayuarite itunga. Iswamaete aicoreta nu kwape ainapeta nuka awanyun ebe ejai aipuga keda etube loajokan kanuka itunga kere.","Ongulumu azi ngapi muke 'diyi ma alea, 'ba azita eyi o'ba azita kari anzi eyi ma ta mbazu. Azita 'diyi azi nga ekile geri azi ngazu kililiru azini e'yo liza kililiru 'diyi fezu 'ba dria yi dri.","Omu kicweka ekirikukora kurungi, ebiragiro n'ebiragiro nibiteebwaho okurinda n'okurinda abatuuragye. Obuhabuzi obu nibukora nk'omuringo gw'okureeba ngu hariho oburinganiza n'oburingaaniza ahabantu boona."
603,"A thriving job market is essential for financial stability and growth. When individuals are gainfully employed, they have more disposable income to spend and invest.","Akatale k'emirimu akagenda mu maaso kalungi nnyo mu by'enfuna n'okukulaakulana. Abantu bwe baba n'emirimu egivaamu ssente, baba n'ensimbi nnyingi ze basobola okusaasaanya n'okusiga ensimbi.","Cuk me tic ma tye maber obedo gin ma pire tek pi dongo lobo. Ka ngat moni tye ki tic maber, en bedo ki cente madwong me tic kwede.","Aswam na ejok ejok erai ibore yenepol noi kanu ainapakina keda apol. Arai ejaasi itunga keda aswamisinei nu iswamaete ejok, ejaasi kesi keda ikapun luipu luepedorete kesi aitosom keda aipikakin ikapun.","Cu azi eyini tupi muke ri eri orodriru e'yo robia ni 'diyi ma tambazu tualu zota be. Ba ka ovu azi be orodriruni be, yi vu robia ayuzaru azini lonyi vuti alezuri angiri.","Obutare bw'emirimo burungi n'obw'omugasho ahabw'entatsya n'entunguuka. Abantu ku barikutunga emirimo erikubareetera amagoba, baine esente nyingi z'okukoresa n'okuzitaho."
604,"In today's competitive job market, fostering a positive workplace culture is essential for retaining talent. One key aspect of this is ensuring that employees feel valued and supported.","Mu katale k'emirimu ak'ennaku zino akavuganya, okutumbula empisa ennungi ku mirimu kya mugaso mu kusigaza ebitone. Ekimu ku bikulu mu kino kwe kulaba ng'abakozi bawulira nga ba muwendo era nga bawagirwa.","I kare man ma pyem tye matek tutwal I kom tic, dongo kit me kwo maber I gang tic pire tek tutwal pi gwoko dano matye ki diro. Gin acel ma pire tek me timo man obedo neno ni lutic giwinyo ni pigi tek dok ki cwakogi.","Kotoma abolobol naka aswamisinei ilolo, aitopolor eipone loajokan loka aswam ejok kanu aidar atalantan. Adiopet koboro lu epol ajokis kanu ngun ngesi awanyun ebe ejenete eswamak ebe ejokuka ido igangitai kes.","E'yo a'bala 'yezu ewu andruri ma alea, adriza kililiru azi tia ri ma ezota eri orodriru 'ba talanta be 'diyi ma ta mbazu. E'yo azi okporu 'di ni ri lezu nezu ra kini azi'ba eyi ma aa orodriru azini eyi atita esu.","Omu bwire obu obw'okuhayahayana aha mirimo, okureetaho entwaza nungi aha mirimo n'eky'omugasho omu kusigaza etaraanta. Ekikuru omu kukora eki n'okureeba ngu abakozi bahurira baine omugasho n'obuhwezi."
605,"The economy has been facing significant challenges lately. Many individuals are struggling to find work, leading to a rise in joblessness.","Eby'enfuna bibadde bisanga okusoomoozebwa okw'amaanyi ennaku zino. Abantu bangi balwana okunoonya emirimu, ekiviiriddeko ebbula ly'emirimu okweyongera.",Tenge me lim obedo ka nongo peko madit tutwal ikare-ni. Dano mapol tye ka tute matek me nongo tic ma oweko can tic omede.,"Etereikina edumune loka ikapun keda atiokisio nuepolok apakio nu. Eutasi itunga luipu ainingosit adumun aswamisinei, ido eyangauni amamus na aswamisinei aiyatakin.",E'yo robia ni 'diyi ebi e'yo ewaru 'diyi esu curu'do. Ba karakara eyi dri ci azi esuzu eyini ani azi ako ma omgbo tuzu.,"Eby'entaasya bitwire nibishanga oburemeezi bw'amaani ebiro ebi. Abantu baingi nibarwana kuronda emirimo, ekirikureetaho okweyongyera kw'eibura ry'emirimo."
606,"In today's economy, many individuals find themselves struggling to make ends meet. As a result, securing stable employment has become increasingly vital for their financial well-being.","Mu by'enfuna by'ennaku zino, abantu bangi beesanga nga balwana okweyimirizaawo. N'ekivuddemu, okufuna emirimu egy'olubeerera kifuuse kikulu nnyo eri embeera yaabwe ey'eby'enfuna.","I kare me can lim me kare-ni, dano mapol nongo tek tutwal me nongo jami ma mite pi kwo gi. Macalo adwogi ne, nongo tic maber dong odoko gin ma pire tek tutwal pi bedo ki lim.","Kotoma ojautene loka ikapun loka lolo, etereikina itunga luipu keda aijar. Kanuka ngun, adumun aswamisinei nuegogong erai ibore yenepol noi kanuka aijar kec naka ikapun.","E'yo lonyi ni curu'do 'diyi ma alea, 'ba karakara eyi eyi esu eyi dri ci afa eyini aa'zu 'diyi esuzu. E'yo 'disi, azi esuza kililiru ri eca curu'do orodriru eyini ani aa'zu muke e'yo robia nirisi.","Omu by'entaasya ebirikugyenda omu maisho, abantu baingi nibatunga oburemeezi bw'okureeberera amagara gaabo. N'ekyarugiremu, okutunga emirimo y'obutuura, nikyeyongyera kuba eky'omugasho omu by'entaasya yaabo."
